variant_gid,product_gid,mpn,vendor,title,colour,size,sku,barcode,images,gender_raw,season_raw,shopify_category,hs_code,country_of_origin,material_upper,description_html,stock,price_eur_net,compare_at_price
gid://shopify/ProductVariant/49307501953367,gid://shopify/Product/9641293513047,J1517-099,GANNI,Lazer denim wrap mini skirt,Black,36,GANNIJ1517-099-36,5714667674515,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Lazer_denim_wrap_mini_skirt_329078.jpg?v=1729174678,Women,24AW,Clothing>Skirts>Women,6204.52.00,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skirt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>J1517</p>,0,198.34,
gid://shopify/ProductVariant/49307501986135,gid://shopify/Product/9641293513047,J1517-099,GANNI,Lazer denim wrap mini skirt,Black,38,GANNIJ1517-099-38,5714667674522,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Lazer_denim_wrap_mini_skirt_329078.jpg?v=1729174678,Women,24AW,Clothing>Skirts>Women,6204.52.00,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skirt</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>J1517</p>,0,198.34,
gid://shopify/ProductVariant/49307651113303,gid://shopify/Product/9641315500375,MRIC001699SA536,ETRO,Floral-motif shirt,Multicolour,M,ETRO001699SA536X0820-M,9900294803,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Floral-motif_shirt_328732.jpg?v=1729175314,Men,24AW,Clothing>Tops>Shirts Short Sleeve>Men,6205.20.00,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Short Sleeve Shirt</p><p>Colour: Multicolour</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>MRIC001699SA536</p>,0,495.86,
gid://shopify/ProductVariant/49307651146071,gid://shopify/Product/9641315500375,MRIC001699SA536,ETRO,Floral-motif shirt,Multicolour,XXL,ETRO001699SA536X0820-XXL,9900294806,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Floral-motif_shirt_328732.jpg?v=1729175314,Men,24AW,Clothing>Tops>Shirts Short Sleeve>Men,6205.20.00,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Short Sleeve Shirt</p><p>Colour: Multicolour</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>MRIC001699SA536</p>,0,495.86,
gid://shopify/ProductVariant/49307651178839,gid://shopify/Product/9641315500375,MRIC001699SA536,ETRO,Floral-motif shirt,Multicolour,L,ETRO001699SA536X0820-L,9900294804,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Floral-motif_shirt_328732.jpg?v=1729175314,Men,24AW,Clothing>Tops>Shirts Short Sleeve>Men,6205.20.00,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Short Sleeve Shirt</p><p>Colour: Multicolour</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>MRIC001699SA536</p>,0,495.86,
gid://shopify/ProductVariant/49307651211607,gid://shopify/Product/9641315500375,MRIC001699SA536,ETRO,Floral-motif shirt,Multicolour,XL,ETRO001699SA536X0820-XL,9900294805,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Floral-motif_shirt_328732.jpg?v=1729175314,Men,24AW,Clothing>Tops>Shirts Short Sleeve>Men,6205.20.00,IT,Cotton 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Short Sleeve Shirt</p><p>Colour: Multicolour</p><p><strong>Composition</strong><br>Outer: Cotton 100%</p><p><strong>Product Code: </strong>MRIC001699SA536</p>,0,495.86,
gid://shopify/ProductVariant/49308575662423,gid://shopify/Product/9641623224663,R43EFE21-G8Y,DKNY,Bryant crossbody bag,Black,OS,DKNYR43EFE21-G8Y-OS,755403204073,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bryant_crossbody_bag_335241.jpg?v=1729183866, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bryant_crossbody_bag_335242.jpg?v=1729183868, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bryant_crossbody_bag_335243.jpg?v=1729183871, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bryant_crossbody_bag_335244.jpg?v=1729183874",Women,24AW,Bags>Crossbody Bags>Women,4202.22.90.90,ID,Cow Leather 100%,<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Crossbody Bag</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Cow Leather 100%</p><p><strong>Product Code: </strong>R43EFE21</p>,0,190.07,
gid://shopify/ProductVariant/49310865490263,gid://shopify/Product/9642425581911,J20J221515BEH,Calvin Klein Jeans,Knitted cycling shorts,Black,L,CKJ20J221515BEH-L,8720107640894,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Knitted_cycling_shorts_327291.jpg?v=1729219626,Women,23SS,Clothing>Bottoms>Shorts>Women,6204.62.39.90,CN,Synthetic Fabric 100%,<p><strong>Product Details</strong></p><p></p><p>Type: Shorts</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Synthetic Fabric 100%</p><p><strong>Product Code: </strong>J20J221515</p>,0,74.37,
gid://shopify/ProductVariant/49310865523031,gid://shopify/Product/9642425581911,J20J221515BEH,Calvin Klein Jeans,Knitted cycling shorts,Black,S,CKJ20J221515BEH-S,8720107640498,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Knitted_cycling_shorts_327291.jpg?v=1729219626,Women,23SS,Clothing>Bottoms>Shorts>Women,6204.62.39.90,CN,Synthetic Fabric 100%,<p><strong>Product Details</strong></p><p></p><p>Type: Shorts</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Synthetic Fabric 100%</p><p><strong>Product Code: </strong>J20J221515</p>,0,74.37,
gid://shopify/ProductVariant/49310865555799,gid://shopify/Product/9642425581911,J20J221515BEH,Calvin Klein Jeans,Knitted cycling shorts,Black,XS,CKJ20J221515BEH-XS,8720107640412,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Knitted_cycling_shorts_327291.jpg?v=1729219626,Women,23SS,Clothing>Bottoms>Shorts>Women,6204.62.39.90,CN,Synthetic Fabric 100%,<p><strong>Product Details</strong></p><p></p><p>Type: Shorts</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Synthetic Fabric 100%</p><p><strong>Product Code: </strong>J20J221515</p>,0,74.37,
