shopify_category_path,miinto_product_type
Clothing>Outerwear>Denim Jackets>Women,Jackets > Denim Jackets
Clothing>Outerwear>Jackets & Coats>Boys,Kids > Jackets
Clothing>Outerwear>Jackets & Coats>Girls,Kids > Jackets
Clothing>Outerwear>Jackets Puffer & Down>Men,Jackets > Down Jackets
Clothing>Outerwear>Jackets Puffer & Down>Women,Jackets > Down Jackets
Clothing>Outerwear>Jackets>Men,Jackets
Clothing>Outerwear>Jackets>Women,Jackets
Clothing>Outerwear>Leather Jackets>Men,Jackets > Leather Jackets
Clothing>Outerwear>Leather Jackets>Women,Jackets > Leather Jackets
Clothing>Outerwear>Lightweight Jackets>Men,Jackets > Light Jackets
Clothing>Outerwear>Raincoats & Trench>Men,Coats > Trench Coats
Clothing>Outerwear>Raincoats & Trench>Women,Coats > Trench Coats
Clothing>Outerwear>Vests Puffer>Men,Jackets > Vests
Clothing>Outerwear>Vests Puffer>Women,Jackets > Vests
Clothing>Outerwear>Vests>Men,Jackets > Vests
Clothing>Outerwear>Vests>Women,Jackets > Vests
Clothing>Skirts>Girls,Kids > Skirts
Clothing>Skirts>Women,Skirts
Clothing>Suits>Men,Suits > Suit Sets
Clothing>Sweaters & Hoodies>Cardigans>Men,Knitwear > Cardigans
Clothing>Sweaters & Hoodies>Cardigans>Women,Knitwear > Cardigans
Clothing>Sweaters & Hoodies>Knitwear>Boys,Kids > Tops > Knitwear
Clothing>Sweaters & Hoodies>Knitwear>Girls,Kids > Tops > Knitwear
Clothing>Sweaters & Hoodies>Knitwear>Men,Knitwear
Clothing>Sweaters & Hoodies>Knitwear>Women,Knitwear
Clothing>Sweaters & Hoodies>Men,Sweatshirts & Hoodies > Hoodies
Clothing>Sweaters & Hoodies>Sweaters>Boys,Kids > Tops > Sweatshirts
Clothing>Sweaters & Hoodies>Sweaters>Girls,Kids > Tops > Sweatshirts
Clothing>Sweaters & Hoodies>Sweaters>Men,Sweatshirts & Hoodies > Sweatshirts
Clothing>Sweaters & Hoodies>Sweaters>Women,Sweatshirts & Hoodies > Sweatshirts
Clothing>Sweaters & Hoodies>Women,Sweatshirts & Hoodies > Hoodies
Clothing>Swimwear>Girls,Kids > Swimwear > Bikini
Clothing>Swimwear>Men,Swimwear > Beachwear
Clothing>Tops>Blouses>Women,Blouses & Shirts > Blouses
Clothing>Tops>Cropped Tops>Women,Tops
Clothing>Tops>Polo Shirts Long Sleeve>Men,Tops > Polo Shirts
Clothing>Tops>Polo Shirts Short Sleeve>Men,Tops > Polo Shirts
Clothing>Tops>Polo Shirts>Women,Tops > Polo Shirts
Clothing>Tops>Shirts Long Sleeve>Men,Tops > Long Sleeve Tops
Clothing>Tops>Shirts Long Sleeve>Women,Tops > Long Sleeve Tops
Clothing>Tops>Shirts Short Sleeve>Men,Shirts > Short Sleeve Shirts
Clothing>Tops>Shirts Short Sleeve>Women,Shirts > Short Sleeve Shirts
Clothing>Tops>Shirts>Men,Blouses & Shirts > Shirts
Clothing>Tops>Shirts>Women,Blouses & Shirts > Shirts
Clothing>Tops>T-Shirts & Shirts>Boys,Kids > Tops > T-Shirts
Clothing>Tops>T-Shirts & Shirts>Girls,Kids > Tops > T-Shirts
Clothing>Tops>T-Shirts Long Sleeve>Men,Tops > Long Sleeve Tops
Clothing>Tops>T-Shirts Long Sleeve>Women,Tops > Long Sleeve Tops
Clothing>Tops>T-Shirts Short Sleeve>Men,Tops > T-Shirts
Clothing>Tops>T-Shirts Short Sleeve>Women,Tops > T-Shirts
Clothing>Tops>T-Shirts>Men,Tops > T-Shirts
Clothing>Tops>T-Shirts>Women,Tops > T-Shirts
Clothing>Tops>Tank Tops>Women,Tops > Sleeveless Tops
Clothing>Tops>Women,Tops
Clothing>Underwear>Bodies>Women,Underwear > Shapewear
Clothing>Underwear>Boxers>Men,Underwear > Bottoms
Clothing>Underwear>Bras>Women,Underwear > Bras
Clothing>Underwear>Panties>Women,Underwear > Bottoms
Clothing>Underwear>Robes>Men,Nightwear & Lounge > Robes
Clothing>Underwear>Robes>Women,Nightwear & Lounge > Robes
Clothing>Underwear>Socks>Men,Underwear > Socks
Clothing>Underwear>Socks>Women,Underwear > Socks
Shoes>Ankle Boots>Men,Shoes > Boots > Ankle Boots
Shoes>Ankle Boots>Women,Shoes > Boots > Ankle Boots
Shoes>Ballerinas>Women,Shoes > Flats > Ballerinas
Shoes>Espadrilles>Men,Shoes > Flats > Espadrilles
Shoes>Espadrilles>Women,Shoes > Flats > Espadrilles
Shoes>Formal,Shoes > Flats > Business Shoes
Shoes>Formal Shoes>Men,Shoes > Flats > Business Shoes
Shoes>Home Slippers>Men,Shoes > Slippers
Shoes>Home Slippers>Women,Shoes > Slippers
Shoes>Loafers>Men,Shoes > Flats > Loafers
Shoes>Loafers>Women,Shoes > Flats > Loafers
Shoes>Long Boots>Women,Shoes > Boots > High Boots
Shoes>Men,Shoes > Flats > Business Shoes
Shoes>Mules>Women,Shoes > Flats > Mules
Shoes>Pumps>Women,Shoes > Heels > Pumps
Shoes>Sandals>Men,Shoes > Sandals > Flat Sandals
Shoes>Sandals>Women,Shoes > Sandals > Flat Sandals
Shoes>Slides>Men,Shoes > Flip Flops & Sliders > Sliders
Shoes>Trainers>Men,Shoes > Sneakers
Shoes>Trainers>Women,Shoes > Sneakers
Value,Set to Miinto Category
